Drošības arhitektūra,,
Risinājums,Punkti,Pamatojums
IPsec,3,"PKI ar CA nodrošina formālu identitātes verifikāciju un sertifikātu atsaukšanas mehānismu. IKEv2 nodrošina savstarpēju autentifikāciju un iepriekšējo sesiju datu aizsardzību arī ilgtermiņa atslēgas risku gadījumā. Tomēr atslēgu pārvaldība ir pilnībā manuāla - sertifikātu izsniegšana, izplatīšana un atjaunošana prasa administratora iejaukšanos. Nav centralizētas piekļuves kontroles paneļa."
OpenVPN,3,"Līdzīgi IPsec ir pieejams PKI ar CA, formāla atsaukšana un TLS kanāla drošība. Tomēr viss atslēgu dzīves cikls - izsniegšana, izplatīšana, atjaunošana - ir manuāls. Nav centralizētas identitātes pārvaldības."
WireGuard,2,"Mūsdienīgs kriptogrāfiskais komplekts un automātiska sesijas atslēgu rotācija nodrošina labu tehnisko drošību. Tomēr identitātes pārvaldība ir pilnībā manuāla - nav formāla atsaukšanas mehānisma (tikai manuāla dzēšana no konfigurācijas), nav centralizētas piekļuves kontroles. WireGuard instalācija nenodrošina nekādu centralizētu identitātes vai atslēgu pārvaldību."
ZeroTier,3,"Centralizēta autorizācija vadības panelī un atsaukšana ar vienu klikšķi nodrošina vienkāršu piekļuves kontroli. Kriptogrāfija ir moderna. Tomēr drošības pārvaldība ir atkarīga no ZeroTier centrālajiem serveriem - ja ZeroTier infrastruktūra ir traucēta, tas var ietekmēt tīkla drošību. Atslēgu rotācija nav administratora kontrolē."
Netmaker,4,Centralizēta atslēgu pārvaldība un automātiska WireGuard atslēgu izplatīšana caur MQTT. Piekļuves atsaukšana no centralizēta paneļa. Visa infrastruktūra ir pašvaldīta - nav atkarības no trešo pušu drošības infrastruktūras. WireGuard kriptogrāfija ir fiksēta un droša. Ierobežojums salīdzinājumā ar 5 punktiem - nav automātiskas periodiskas atslēgu rotācijas bez administratora iejaukšanās.
